(4/15/2020 11:43:37 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Verificando si MA esta abierto
(4/15/2020 11:43:37 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | ..:: Iniciando <Menu_Andes_VerificarExistenciaMA> ::..
(4/15/2020 11:43:44 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | MA esta abierto
(4/15/2020 11:43:44 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Moviendose a la vista principal de MA
(4/15/2020 11:43:49 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | No es la vista principal, retrocediendo a vista anterior.
(4/15/2020 11:43:54 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | No es la vista principal, retrocediendo a vista anterior.
(4/15/2020 11:44:00 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | No es la vista principal, retrocediendo a vista anterior.
(4/15/2020 11:44:01 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Vista principal de MA encontrada, terminando ejecucion del metabot.
(4/15/2020 11:44:01 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | Moviendose a la Vista Solicitada [SAF12-4]
(4/15/2020 11:44:01 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | Ingresando a la vista [SAF12]
(4/15/2020 11:44:01 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | Ingresando a la vista [4]
(4/15/2020 11:44:02 AM) RPA_CAU_REN | <HU06> | ..:: Iniciando <HU06> ::..
(4/15/2020 11:44:02 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | ..:: Iniciando <Menu_Andes_MovimientoVista> ::..
(4/15/2020 11:44:02 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | En el caso de que no este en la vista principal de MA, se mueve a ella.
(4/15/2020 11:44:02 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | ..:: Iniciando <Menu_Andes_VistaPrincipal> ::..
(4/15/2020 11:44:02 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Verificando si MA esta abierto
(4/15/2020 11:44:02 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | ..:: Iniciando <Menu_Andes_VerificarExistenciaMA> ::..
(4/15/2020 1:14:13 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:14:13 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:14:15 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:14:15 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:14:15 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/15/2020 1:15:24 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:15:24 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:15:26 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:15:26 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:15:26 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/15/2020 1:30:50 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:30:50 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:30:52 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:30:52 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:30:52 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/15/2020 1:32:59 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:32:59 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:33:01 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:33:01 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:33:01 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/15/2020 1:35:17 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:35:17 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:35:18 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:35:18 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:35:18 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/15/2020 1:36:22 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:36:22 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:36:23 PM) RPA_CAU_REN | <4_Estadisticas> | ..:: Iniciando <4_Estadisticas> ::..
(4/15/2020 1:36:23 PM) RPA_CAU_REN | <4_Estadisticas> | Conectando a PostgreSQL
(4/15/2020 1:36:23 PM) RPA_CAU_REN | <4_Estadisticas> | Ejecutando SP de creacion de estadisticas
(4/15/2020 1:36:53 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:36:53 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 1:36:59 PM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 1:36:59 PM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
